level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	179	1446	-1	
2	1	1	0	0	0	23	27	156	1407	-1	
3	1	1	1	0	0	27	27	152	155	-1	
4	1	1	1	1	0	27	27	152	16	-1	
5	1	1	1	1	1	27	27	35	14	6.533604	kid®
5	1	1	1	1	2	159	27	20	16	61.121063	(ki
4	1	1	1	2	0	23	50	156	28	-1	
5	1	1	1	2	1	23	50	41	28	24.679832	kill”
5	1	1	1	2	2	159	55	20	15	82.867836	Os
4	1	1	1	3	0	27	82	152	17	-1	
5	1	1	1	3	1	27	82	79	17	72.827049	kilogram’
5	1	1	1	3	2	160	83	19	15	65.816116	C'k
4	1	1	1	4	0	28	106	151	28	-1	
5	1	1	1	4	1	28	106	82	28	7.213058	kilometer’
5	1	1	1	4	2	160	111	19	15	67.957169	Uk
4	1	1	1	5	0	28	138	151	16	-1	
5	1	1	1	5	1	28	138	30	14	77.522255	kin’
5	1	1	1	5	2	160	139	19	15	50.296852	(ki
4	1	1	1	6	0	28	166	151	16	-1	
5	1	1	1	6	1	28	167	35	13	95.925774	kind
5	1	1	1	6	2	160	166	19	16	50.644566	(k
3	1	1	2	0	0	28	197	151	95	-1	
4	1	1	2	1	0	159	197	20	10	-1	
5	1	1	2	1	1	159	199	11	8	0.000000	rn.
4	1	1	2	2	0	28	216	151	27	-1	
5	1	1	2	2	1	28	216	75	27	55.494270	kindness’
5	1	1	2	2	2	160	221	19	15	0.000000	Ck
4	1	1	2	3	0	28	247	151	17	-1	
5	1	1	2	3	1	28	247	39	17	89.161766	king’
5	1	1	2	3	2	160	249	19	15	57.508537	Uk
4	1	1	2	4	0	28	275	151	17	-1	
5	1	1	2	4	1	28	275	75	17	91.384567	kingdom’
5	1	1	2	4	2	160	276	19	15	0.000000	C
3	1	1	3	0	0	28	302	151	44	-1	
4	1	1	3	1	0	159	302	20	16	-1	
5	1	1	3	1	1	159	302	20	16	24.364983	ie
4	1	1	3	2	0	28	329	151	17	-1	
5	1	1	3	2	1	28	329	27	15	39.652107	kit’
5	1	1	3	2	2	160	330	19	16	59.449600	Ck
3	1	1	4	0	0	28	357	151	98	-1	
4	1	1	4	1	0	160	357	14	14	-1	
5	1	1	4	1	1	160	357	14	14	59.152073	XR
4	1	1	4	2	0	28	380	151	27	-1	
5	1	1	4	2	1	28	380	64	27	73.818169	kitchen’
5	1	1	4	2	2	160	384	19	16	24.625069	Ck
4	1	1	4	3	0	28	406	151	30	-1	
5	1	1	4	3	1	28	406	40	30	93.950394	knee!
5	1	1	4	3	2	160	412	19	16	68.229355	(ni
4	1	1	4	4	0	28	436	151	26	-1	
5	1	1	4	4	1	28	436	33	26	94.335846	knit
5	1	1	4	4	2	160	440	19	15	10.088911	(n
3	1	1	5	0	0	28	467	151	42	-1	
4	1	1	5	1	0	160	467	19	13	-1	
5	1	1	5	1	1	160	467	19	13	87.742065	kni
4	1	1	5	2	0	28	489	151	27	-1	
5	1	1	5	2	1	28	489	53	27	51.111065	knock*
5	1	1	5	2	2	160	494	19	15	62.217850	Cn
3	1	1	6	0	0	160	520	13	15	-1	
4	1	1	6	1	0	160	520	13	15	-1	
5	1	1	6	1	1	160	520	13	15	34.507900	8
3	1	1	7	0	0	28	547	151	206	-1	
4	1	1	7	1	0	160	547	14	14	-1	
5	1	1	7	1	1	160	547	14	14	27.263981	tR
4	1	1	7	2	0	28	569	151	28	-1	
5	1	1	7	2	1	28	569	40	28	69.807739	knot!
5	1	1	7	2	2	160	574	19	15	50.914146	Chi
