level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	184	1446	-1	
2	1	1	0	0	0	17	12	167	1394	-1	
3	1	1	1	0	0	21	12	163	1387	-1	
4	1	1	1	1	0	21	12	160	30	-1	
5	1	1	1	1	1	21	12	61	30	64.832031	prevail’
5	1	1	1	1	2	154	22	27	16	64.173309	(prt
4	1	1	1	2	0	154	55	30	10	-1	
5	1	1	1	2	1	154	55	30	10	57.072063	agai
4	1	1	1	3	0	21	77	163	16	-1	
5	1	1	1	3	1	21	77	81	16	94.619301	prevalent’
5	1	1	1	3	2	154	77	30	16	48.478703	C'pr
4	1	1	1	4	0	21	104	160	17	-1	
5	1	1	1	4	1	21	104	70	17	61.798916	prevent"
5	1	1	1	4	2	154	105	27	16	72.529503	Cprt
4	1	1	1	5	0	21	131	161	17	-1	
5	1	1	1	5	1	21	131	74	17	93.323143	previous’
5	1	1	1	5	2	154	132	28	16	30.856842	(pr
4	1	1	1	6	0	21	159	163	17	-1	
5	1	1	1	6	1	21	159	40	17	55.880947	prey”
5	1	1	1	6	2	154	160	30	16	83.791527	(pre
4	1	1	1	7	0	154	186	30	15	-1	
5	1	1	1	7	1	154	186	30	15	61.997627	mn
4	1	1	1	8	0	21	215	163	16	-1	
5	1	1	1	8	1	21	215	41	16	96.972488	price
5	1	1	1	8	2	154	215	30	16	42.048622	(pra
4	1	1	1	9	0	21	241	163	17	-1	
5	1	1	1	9	1	21	241	46	17	45.395058	pride’
5	1	1	1	9	2	154	242	30	16	78.735268	(pre
4	1	1	1	10	0	17	265	167	25	-1	
5	1	1	1	10	1	17	265	51	25	71.848701	priest
5	1	1	1	10	2	154	270	30	16	53.903084	(pri:
4	1	1	1	11	0	21	291	163	29	-1	
5	1	1	1	11	1	21	291	76	29	81.078117	primary"
5	1	1	1	11	2	154	298	30	16	43.302216	C'pr
4	1	1	1	12	0	154	325	30	14	-1	
5	1	1	1	12	1	154	325	30	14	43.457176	On
4	1	1	1	13	0	22	352	162	17	-1	
5	1	1	1	13	1	22	352	50	17	70.977356	prime’
5	1	1	1	13	2	154	353	30	16	78.645828	Cpra
4	1	1	1	14	0	155	380	29	14	-1	
5	1	1	1	14	1	155	380	13	14	53.107498	fH)
5	1	1	1	14	2	176	382	8	12	71.201385	¢
4	1	1	1	15	0	154	406	30	15	-1	
5	1	1	1	15	1	154	406	30	15	44.790112	His
4	1	1	1	16	0	22	423	162	31	-1	
5	1	1	1	16	1	22	423	79	31	70.951111	primitive’
5	1	1	1	16	2	154	434	30	15	26.025566	(pr
4	1	1	1	17	0	154	460	30	14	-1	
5	1	1	1	17	1	154	460	30	14	40.252171	ie
4	1	1	1	18	0	22	478	161	30	-1	
5	1	1	1	18	1	22	478	78	30	27.389784	principal’
5	1	1	1	18	2	154	488	29	15	51.071018	C'pr
4	1	1	1	19	0	153	514	31	15	-1	
5	1	1	1	19	1	153	514	31	15	27.107563	CAR
4	1	1	1	20	0	22	534	162	30	-1	
5	1	1	1	20	1	22	534	81	30	62.026058	principle’
5	1	1	1	20	2	154	542	30	15	70.114975	(pr
4	1	1	1	21	0	22	585	162	30	-1	
5	1	1	1	21	1	22	585	40	30	76.345963	print’
5	1	1	1	21	2	154	596	30	15	41.221809	(pri
4	1	1	1	22	0	154	622	30	14	-1	
5	1	1	1	22	1	154	622	30	14	43.507507	4
4	1	1	1	23	0	21	645	163	28	-1	
5	1	1	1	23	1	21	645	43	28	78.787491	prior’
5	1	1	1	23	2	154	650	30	15	75.901672	Cpr
4	1	1	1	24	0	18	672	166	25	-1	
5	1	1	1	24	1	18	672	72	25	62.492939	priority’
5	1	1	1	24	2	154	677	30	16	91.411392	(pra
4	1	1	1	25	0	22	704	160	17	-1	
5	1	1	1	25	1	22	704	55	17	80.814690	prison’
5	1	1	1	25	2	154	705	28	16	0.000000	Cpr
4	1	1	1	26	0	22	733	162	16	-1	
5	1	1	1	26	1	22	733	64	16	95.617218	privacy’
5	1	1	1	26	2	154	733	30	16	72.028091	C'pr
4	1	1	1	27	0	21	760	163	17	-1	
5	1	1	1	27	1	21	760	67	17	54.146790	private”
5	1	1	1	27	2	154	761	30	16	54.555149	C'pr
4	1	1	1	28	0	157	787	27	14	-1	
5	1	1	1	28	1	157	787	27	14	54.794392	+H
4	1	1	1	29	0	22	805	161	30	-1	
