level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	359	2892	-1	
2	1	1	0	0	0	9	39	350	2751	-1	
3	1	1	1	0	0	10	39	349	2751	-1	
4	1	1	1	1	0	10	39	349	32	-1	
5	1	1	1	1	1	10	39	167	29	88.015656	obsession’
5	1	1	1	1	2	277	40	82	31	53.755043	[ab'se
4	1	1	1	2	0	279	94	80	29	-1	
5	1	1	1	2	1	279	95	27	28	46.064663	hy
5	1	1	1	2	2	314	94	45	28	8.238525	AS
4	1	1	1	3	0	11	148	346	32	-1	
5	1	1	1	3	1	11	148	143	30	83.216843	obstacle’
5	1	1	1	3	2	278	150	5	30	30.896502	[
5	1	1	1	3	3	297	150	60	27	30.896502	'pbst
4	1	1	1	4	0	11	204	348	32	-1	
5	1	1	1	4	1	11	204	124	29	27.687016	obtain”
5	1	1	1	4	2	278	206	81	30	66.411102	[ab'te
4	1	1	1	5	0	277	258	82	32	-1	
5	1	1	1	5	1	277	258	82	32	0.000000	CH
5	1	1	1	5	2	334	254	24	46	20.864166	Ju
4	1	1	1	6	0	12	313	347	32	-1	
5	1	1	1	6	1	12	313	145	29	86.222420	obvious”
5	1	1	1	6	2	278	315	9	30	25.926428	[
5	1	1	1	6	3	297	315	62	26	48.960327	'pbv
4	1	1	1	7	0	9	418	350	43	-1	
5	1	1	1	7	1	9	418	153	43	94.300880	occasion’
5	1	1	1	7	2	279	423	80	30	44.437695	[a'ker
4	1	1	1	8	0	278	476	81	30	-1	
5	1	1	1	8	1	278	476	81	30	32.428864	Q4t¥5
4	1	1	1	9	0	278	528	81	32	-1	
5	1	1	1	9	1	278	528	81	32	40.570751	CJ»
4	1	1	1	10	0	14	579	345	44	-1	
5	1	1	1	10	1	14	579	178	44	63.422344	occasional’
5	1	1	1	10	2	279	585	80	30	17.281437	[a'ker
4	1	1	1	11	0	14	638	345	34	-1	
5	1	1	1	11	1	14	638	186	34	88.702805	occupation’
5	1	1	1	11	2	280	641	79	31	4.951372	Liwkje
4	1	1	1	12	0	279	693	80	31	-1	
5	1	1	1	12	1	279	693	80	31	9.685345	(#1
4	1	1	1	13	0	11	743	348	42	-1	
5	1	1	1	13	1	11	743	123	42	39.986744	occupy’
5	1	1	1	13	2	280	749	79	32	48.609406	['pkje
4	1	1	1	14	0	279	801	80	30	-1	
5	1	1	1	14	1	279	801	80	30	12.759132	OE}
4	1	1	1	15	0	15	855	342	33	-1	
5	1	1	1	15	1	15	855	107	29	48.461472	occur”
5	1	1	1	15	2	280	858	77	30	68.294754	[a'ks:
4	1	1	1	16	0	15	911	344	32	-1	
5	1	1	1	16	1	15	911	184	29	71.632942	occurrence’
5	1	1	1	16	2	279	913	80	30	52.541512	[a'kai
4	1	1	1	17	0	281	966	61	30	-1	
5	1	1	1	17	1	281	966	61	30	6.747389	sty
4	1	1	1	18	0	15	1020	344	33	-1	
5	1	1	1	18	1	15	1020	100	29	88.061058	ocean’
5	1	1	1	18	2	280	1022	79	31	54.553753	['aufe
4	1	1	1	19	0	15	1072	344	43	-1	
5	1	1	1	19	1	15	1072	134	43	0.000000	October’
5	1	1	1	19	2	280	1077	79	31	15.317106	[ok'te
4	1	1	1	20	0	15	1131	344	33	-1	
5	1	1	1	20	1	15	1131	65	29	93.069778	odd’
5	1	1	1	20	2	280	1133	61	31	56.704716	[od].
4	1	1	1	21	0	282	1187	72	29	-1	
5	1	1	1	21	1	282	1187	26	29	62.438538	fy
5	1	1	1	21	2	325	1187	29	29	30.264278	@
4	1	1	1	22	0	16	1236	339	44	-1	
5	1	1	1	22	1	16	1236	80	44	82.181206	odds'
5	1	1	1	22	2	280	1242	10	31	43.513557	[
5	1	1	1	22	3	297	1242	58	31	9.455986	pdz.]
4	1	1	1	23	0	15	1351	344	30	-1	
5	1	1	1	23	1	15	1351	36	26	96.575043	of
5	1	1	1	23	2	280	1351	60	30	35.789490	[av,
5	1	1	1	23	3	351	1361	8	15	35.789490	<
4	1	1	1	24	0	16	1460	343	30	-1	
5	1	1	1	24	1	16	1460	50	26	95.659401	off
5	1	1	1	24	2	281	1460	78	30	49.484215	La:fla
4	1	1	1	25	0	282	1513	72	29	-1	
5	1	1	1	25	1	282	1513	27	28	40.775650	HE
5	1	1	1	25	2	325	1513	29	29	77.913673	®
4	1	1	1	26	0	279	1565	80	31	-1	
5	1	1	1	26	1	279	1565	80	31	16.961136	(Ja
4	1	1	1	27	0	282	1618	77	30	-1	
5	1	1	1	27	1	282	1620	26	27	44.579281	ANH
5	1	1	1	27	2	347	1618	12	30	31.978064	f
4	1	1	1	28	0	16	1672	343	33	-1	
5	1	1	1	28	1	16	1672	111	29	68.245781	offend’
5	1	1	1	28	2	281	1674	78	31	27.244205	[a'fen
4	1	1	1	29	0	280	1727	79	30	-1	
5	1	1	1	29	1	280	1727	79	30	19.644089	ik)
4	1	1	1	30	0	16	1777	343	43	-1	
5	1	1	1	30	1	16	1777	156	43	59.571529	offensive’
5	1	1	1	30	2	281	1783	78	30	45.269199	La'fen
4	1	1	1	31	0	280	1837	79	28	-1	
5	1	1	1	31	1	280	1848	22	15	75.853798	n,
5	1	1	1	31	2	332	1837	27	28	46.428600	(#
4	1	1	1	32	0	279	1888	80	31	-1	
5	1	1	1	32	1	279	1888	80	31	0.000000	(#],
4	1	1	1	33	0	16	1944	343	30	-1	
5	1	1	1	33	1	16	1944	81	26	96.705338	offer
5	1	1	1	33	2	280	1944	79	30	49.110584	['pfa_
4	1	1	1	34	0	15	1993	344	44	-1	
5	1	1	1	34	1	15	1993	112	44	72.701988	office”
5	1	1	1	34	2	280	2000	79	30	3.563328	(‘fis
4	1	1	1	35	0	15	2049	344	40	-1	
5	1	1	1	35	1	15	2049	119	40	92.308517	officer’
5	1	1	1	35	2	280	2055	79	30	42.385063	['pfis:
4	1	1	1	36	0	15	2106	344	40	-1	
5	1	1	1	36	1	15	2106	119	40	96.711075	official
5	1	1	1	36	2	280	2106	34	41	7.370291	[ol
5	1	1	1	36	3	320	2110	38	31	7.370291	fifi
4	1	1	1	37	0	15	2159	344	43	-1	
5	1	1	1	37	1	15	2159	103	43	78.968567	offset’
5	1	1	1	37	2	280	2165	10	31	32.147007	[
5	1	1	1	37	3	298	2165	61	27	32.147007	'p:fse
4	1	1	1	38	0	15	2219	344	33	-1	
5	1	1	1	38	1	15	2219	161	33	90.860954	offspring'
5	1	1	1	38	2	280	2221	10	30	52.435524	[
