level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	359	2892	-1	
2	1	1	0	0	0	53	50	306	2812	-1	
3	1	1	1	0	0	53	50	306	2812	-1	
4	1	1	1	1	0	53	50	306	31	-1	
5	1	1	1	1	1	53	50	106	28	52.832912	orient’
5	1	1	1	1	2	320	50	39	31	58.283676	E's
4	1	1	1	2	0	53	153	304	44	-1	
5	1	1	1	2	1	53	153	192	44	83.682175	orientation’
5	1	1	1	2	2	319	159	38	30	79.563461	[ia
4	1	1	1	3	0	321	213	38	27	-1	
5	1	1	1	3	1	321	213	38	27	42.353226	A
4	1	1	1	4	0	319	265	40	31	-1	
5	1	1	1	4	1	319	265	40	31	0.375404	Cf
4	1	1	1	5	0	55	319	304	34	-1	
5	1	1	1	5	1	55	319	117	34	62.991814	origin”
5	1	1	1	5	2	320	321	39	30	28.997673	['e
4	1	1	1	6	0	55	375	304	34	-1	
5	1	1	1	6	1	55	375	149	34	34.723122	original’
5	1	1	1	6	2	320	377	39	30	54.546219	[al
4	1	1	1	7	0	321	430	38	30	-1	
5	1	1	1	7	1	321	430	38	30	36.802818	fe
4	1	1	1	8	0	56	484	300	33	-1	
5	1	1	1	8	1	56	484	168	33	52.787590	originate’
5	1	1	1	8	2	321	486	35	30	79.525681	[a!
4	1	1	1	9	0	56	540	303	31	-1	
5	1	1	1	9	1	56	540	166	28	83.147102	ornament’
5	1	1	1	9	2	321	541	38	30	62.281147	['s
4	1	1	1	10	0	55	595	304	34	-1	
5	1	1	1	10	1	55	595	123	34	6.320553	orphan’
5	1	1	1	10	2	321	597	38	30	58.557312	['s
4	1	1	1	11	0	55	653	304	30	-1	
5	1	1	1	11	1	55	654	87	26	95.632690	other
5	1	1	1	11	2	321	653	38	30	49.036694	("a
4	1	1	1	12	0	320	706	39	26	-1	
5	1	1	1	12	1	320	706	39	26	32.196026	ak
4	1	1	1	13	0	56	760	303	32	-1	
5	1	1	1	13	1	56	760	177	28	69.515137	otherwise"
5	1	1	1	13	2	321	761	38	31	50.309265	['s
4	1	1	1	14	0	321	817	38	23	-1	
5	1	1	1	14	1	321	817	38	23	37.004646	vA!
4	1	1	1	15	0	57	869	302	32	-1	
5	1	1	1	15	1	57	869	101	32	91.703072	ought’
5	1	1	1	15	2	321	870	38	31	38.935432	Lo:
4	1	1	1	16	0	56	926	303	30	-1	
5	1	1	1	16	1	56	935	56	18	96.730797	our
5	1	1	1	16	2	321	926	38	30	89.583862	['a
4	1	1	1	17	0	56	980	303	32	-1	
5	1	1	1	17	1	56	980	80	28	88.476624	ours’
5	1	1	1	17	2	321	982	38	30	86.739754	['a
4	1	1	1	18	0	57	1031	302	41	-1	
5	1	1	1	18	1	57	1031	171	41	66.058022	ourselves”
5	1	1	1	18	2	321	1037	38	30	72.468178	[a
4	1	1	1	19	0	57	1146	302	30	-1	
5	1	1	1	19	1	57	1149	52	23	96.315552	out
5	1	1	1	19	2	322	1146	37	30	71.482735	[at
4	1	1	1	20	0	325	1200	34	28	-1	
5	1	1	1	20	1	325	1200	20	28	50.662514	K
4	1	1	1	21	0	321	1251	38	31	-1	
5	1	1	1	21	1	321	1251	38	31	18.025188	C#
4	1	1	1	22	0	57	1307	302	30	-1	
5	1	1	1	22	1	57	1310	145	24	95.203499	outcome’
5	1	1	1	22	2	321	1307	38	30	76.686852	['a
4	1	1	1	23	0	57	1358	302	42	-1	
5	1	1	1	23	1	57	1358	94	42	55.059769	outer’
5	1	1	1	23	2	322	1363	37	30	32.462254	['e
4	1	1	1	24	0	57	1413	302	43	-1	
5	1	1	1	24	1	57	1413	103	43	42.672161	outlet’
5	1	1	1	24	2	322	1419	37	30	25.948248	[a
4	1	1	1	25	0	57	1474	302	31	-1	
5	1	1	1	25	1	57	1474	123	27	95.727112	outline’
5	1	1	1	25	2	322	1474	37	31	19.424601	['e
4	1	1	1	26	0	57	1523	302	44	-1	
5	1	1	1	26	1	57	1523	133	44	90.939491	outlook’
5	1	1	1	26	2	321	1529	38	31	77.248238	['a
4	1	1	1	27	0	323	1584	26	27	-1	
5	1	1	1	27	1	323	1584	26	27	55.707085	+E
4	1	1	1	28	0	57	1630	302	44	-1	
5	1	1	1	28	1	57	1630	116	44	88.883774	output’
5	1	1	1	28	2	322	1638	37	30	84.866486	['a
4	1	1	1	29	0	322	1691	37	29	-1	
5	1	1	1	29	1	322	1691	37	29	62.651615	i
4	1	1	1	30	0	57	1744	302	33	-1	
5	1	1	1	30	1	57	1744	134	33	94.125061	outrage’
5	1	1	1	30	2	322	1746	37	31	76.540268	['a
4	1	1	1	31	0	57	1796	302	41	-1	
5	1	1	1	31	1	57	1796	107	41	53.944263	outset’
5	1	1	1	31	2	322	1802	37	30	87.435425	['a
4	1	1	1	32	0	57	1856	302	32	-1	
5	1	1	1	32	1	57	1856	136	29	36.678169	outside"
5	1	1	1	32	2	323	1858	36	30	66.255310	['e
4	1	1	1	33	0	322	1919	37	24	-1	
5	1	1	1	33	1	322	1919	37	24	75.674332	pre
4	1	1	1	34	0	322	1966	37	29	-1	
5	1	1	1	34	1	322	1966	25	29	24.221897	Db
5	1	1	1	34	2	356	1974	3	19	69.567429	|
4	1	1	1	35	0	321	2016	29	29	-1	
5	1	1	1	35	1	321	2016	29	29	48.913681	2)
4	1	1	1	36	0	57	2070	302	32	-1	
5	1	1	1	36	1	57	2070	204	32	69.812546	outstanding’
5	1	1	1	36	2	322	2072	37	30	69.812546	[a
4	1	1	1	37	0	321	2123	38	31	-1	
5	1	1	1	37	1	321	2123	38	31	79.336151	C#
4	1	1	1	38	0	57	2177	302	33	-1	
5	1	1	1	38	1	57	2177	143	29	72.175056	outward
5	1	1	1	38	2	322	2179	37	31	82.459221	['a
4	1	1	1	39	0	322	2232	37	29	-1	
5	1	1	1	39	1	322	2232	37	29	62.473427	db
4	1	1	1	40	0	57	2287	302	30	-1	
5	1	1	1	40	1	57	2295	70	18	96.468300	over
5	1	1	1	40	2	322	2287	37	30	26.796770	Eg
4	1	1	1	41	0	322	2401	37	24	-1	
5	1	1	1	41	1	322	2401	37	24	66.871651	pre
4	1	1	1	42	0	321	2449	24	26	-1	
5	1	1	1	42	1	321	2449	24	26	74.002640	A
4	1	1	1	43	0	57	2494	302	43	-1	
5	1	1	1	43	1	57	2494	132	43	21.647015	overall”
5	1	1	1	43	2	322	2499	37	31	36.572090	Cia
4	1	1	1	44	0	325	2555	34	28	-1	
5	1	1	1	44	1	325	2555	21	28	0.000000	ae
4	1	1	1	45	0	57	2606	302	32	-1	
5	1	1	1	45	1	57	2606	162	28	66.026039	overcome’
5	1	1	1	45	2	322	2608	37	30	72.443756	[ia
4	1	1	1	46	0	323	2661	36	28	-1	
5	1	1	1	46	1	323	2661	36	28	54.087303	K
4	1	1	1	47	0	56	2714	303	32	-1	
5	1	1	1	47	1	56	2714	156	28	85.964340	overhead’
5	1	1	1	47	2	322	2716	37	30	70.295593	['s
4	1	1	1	48	0	322	2771	24	26	-1	
5	1	1	1	48	1	322	2771	24	26	37.039566	ii
4	1	1	1	49	0	86	2832	40	30	-1	
5	1	1	1	49	1	86	2832	40	30	97.011299	42
