level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	380	2892	-1	
2	1	1	0	0	0	5	37	375	2756	-1	
3	1	1	1	0	0	5	37	375	2756	-1	
4	1	1	1	1	0	268	37	112	30	-1	
5	1	1	1	1	1	268	50	25	15	89.024055	a.
5	1	1	1	1	2	307	37	73	30	59.918236	HSE:
4	1	1	1	2	0	5	91	375	33	-1	
5	1	1	1	2	1	5	91	91	29	93.364708	snow
5	1	1	1	2	2	271	93	89	31	43.672825	[snovu
5	1	1	1	2	3	349	88	11	41	63.254398	|
5	1	1	1	2	4	377	106	3	13	0.000000	j
4	1	1	1	3	0	5	149	375	30	-1	
5	1	1	1	3	1	5	158	34	17	92.872993	so
5	1	1	1	3	2	271	149	71	30	78.740746	[sou]
5	1	1	1	3	3	358	161	22	15	61.297905	a
4	1	1	1	4	0	274	206	104	23	-1	
5	1	1	1	4	1	274	210	42	17	92.641365	(~
5	1	1	1	4	2	337	206	41	23	95.685951	tha
4	1	1	1	5	0	5	256	375	32	-1	
5	1	1	1	5	1	5	256	84	28	65.952942	soak’
5	1	1	1	5	2	272	257	89	31	89.025681	[souk
5	1	1	1	5	3	350	251	12	43	73.909271	|
5	1	1	1	5	4	378	270	2	4	0.000000	-
4	1	1	1	6	0	5	311	375	34	-1	
5	1	1	1	6	1	5	311	80	34	64.739273	soap’
5	1	1	1	6	2	271	312	109	33	34.354668	[soup];
4	1	1	1	7	0	5	367	367	32	-1	
5	1	1	1	7	1	5	367	76	28	91.465576	soar’
5	1	1	1	7	2	272	368	61	31	5.494537	[sor]
5	1	1	1	7	3	350	381	22	15	83.138145	v.
4	1	1	1	8	0	6	422	374	33	-1	
5	1	1	1	8	1	6	422	95	28	77.900612	sober’
5	1	1	1	8	2	272	424	108	31	14.571943	['sauba-
4	1	1	1	9	0	5	473	375	44	-1	
5	1	1	1	9	1	5	473	151	44	74.434853	so-called’
5	1	1	1	9	2	269	492	24	15	86.239182	a.
5	1	1	1	9	3	307	480	73	28	44.815193	(WE)
4	1	1	1	10	0	6	529	366	43	-1	
5	1	1	1	10	1	6	529	110	43	56.861145	soccer’
5	1	1	1	10	2	272	535	100	30	54.411983	['soka
5	1	1	1	10	3	366	529	11	42	67.762398	}
4	1	1	1	11	0	6	584	374	43	-1	
5	1	1	1	11	1	6	584	138	43	63.457645	sociable’
5	1	1	1	11	2	272	590	108	31	48.828529	['soufab
4	1	1	1	12	0	6	642	367	38	-1	
5	1	1	1	12	1	6	642	92	38	96.811127	social
5	1	1	1	12	2	272	646	101	30	42.897644	['soufal
4	1	1	1	13	0	274	699	106	30	-1	
5	1	1	1	13	1	274	701	26	28	54.424072	hy
5	1	1	1	13	2	317	699	63	29	58.471207	OC
4	1	1	1	14	0	6	750	374	41	-1	
5	1	1	1	14	1	6	750	113	41	96.003937	society
5	1	1	1	14	2	272	755	108	30	0.000000	[sa'sa1?
4	1	1	1	15	0	6	804	374	41	-1	
5	1	1	1	15	1	6	804	161	41	84.833076	sociology’
5	1	1	1	15	2	271	809	109	31	36.145020	[isaust't
4	1	1	1	16	0	5	863	375	33	-1	
5	1	1	1	16	1	5	863	71	28	93.130966	sole’
5	1	1	1	16	2	271	865	81	31	83.500710	[saul]
5	1	1	1	16	3	367	878	13	14	95.985229	a
4	1	1	1	17	0	6	918	373	33	-1	
5	1	1	1	17	1	6	918	71	29	52.358673	soft’
5	1	1	1	17	2	271	921	80	30	33.060452	[soft]
5	1	1	1	17	3	366	933	13	14	95.051811	a
4	1	1	1	18	0	270	973	93	31	-1	
5	1	1	1	18	1	270	973	93	31	0.000000	(##Ja.
4	1	1	1	19	0	271	1027	109	28	-1	
5	1	1	1	19	1	271	1029	42	23	83.177658	sb)
5	1	1	1	19	2	330	1027	48	28	33.717991	UB
4	1	1	1	20	0	6	1076	374	42	-1	
5	1	1	1	20	1	6	1076	151	42	62.127632	software’
5	1	1	1	20	2	271	1081	109	30	34.153511	['spftws
4	1	1	1	21	0	6	1130	373	41	-1	
5	1	1	1	21	1	6	1130	65	41	19.749966	soil
5	1	1	1	21	2	271	1136	77	31	67.614441	[soil]
5	1	1	1	21	3	364	1148	15	14	81.390381	n
4	1	1	1	22	0	270	1188	110	31	-1	
5	1	1	1	22	1	270	1188	91	31	0.000000	CH
5	1	1	1	22	2	327	1184	31	46	60.766788	J.
5	1	1	1	22	3	369	1184	9	46	49.367603	:
4	1	1	1	23	0	6	1241	371	33	-1	
5	1	1	1	23	1	6	1241	100	29	61.817780	solar’
5	1	1	1	23	2	271	1244	11	30	30.410814	[
5	1	1	1	23	3	289	1244	88	30	30.410814	'saula
5	1	1	1	23	4	367	1237	12	43	63.967075	]
